StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
AR,"Johnson County",25692,174751,25845,192841
AR,"Madison County",16551,196966,16960,222297
AR,"Poinsett County",22893,137938,22660,148285
AR,"Pulaski County",399073,274206,397821,293751
AZ,"Coconino County",145116,594906,145052,776495
AZ,"Pinal County",429583,330881,449557,431989
AZ,"Graham County",38614,279933,39050,333542
AZ,"Greenlee County",9522,178977,9404,207873
AZ,"Navajo County",106802,379532,108147,497380
AZ,"Mohave County",214070,384829,217692,489914
AZ,"Gila County",53306,385221,53589,465862
AZ,"La Paz County",16580,480924,16408,578526
AZ,"Cochise County",125398,271079,126050,311628
AZ,"Yavapai County",237067,529352,242253,679816
AZ,"Maricopa County",4438342,494716,4496588,646148
AZ,"Pima County",1045599,369591,1052030,456227
AZ,"Apache County",65897,300309,65623,361051
AZ,"Yuma County",204437,247856,206990,306876
AZ,"Santa Cruz County",47653,312373,47883,375791
CA,"Monterey County",438500,1222385,437325,1465508
CA,"Solano County",453274,595648,451716,712396
CA,"Modoc County",8658,241099,8661,277226
CA,"Santa Barbara County",448096,1481045,446475,1812719
CA,"San Diego County",3297252,1024996,3286069,1284920
CA,"Glenn County",28893,413670,28805,480859
CA,"Orange County",3184101,1189251,3167809,1422203
CA,"Yolo County",216255,715900,216986,821665
CA,"Los Angeles County",9989165,1175029,9829544,1381649
CA,"Tulare County",473736,341385,477054,404672
CA,"Alpine County",1198,663372,1235,747743
CA,"Butte County",210083,477211,208309,542791
CA,"Del Norte County",27709,420312,28100,438535
CA,"Riverside County",2422764,561222,2458395,700721
CA,"San Bernardino County",2182740,534717,2194710,655577
CA,"Humboldt County",136351,474596,136310,550011
CA,"Sonoma County",488345,1041045,485887,1207198
CA,"Lassen County",32719,279483,33159,324008
CA,"Stanislaus County",552710,461362,552999,553634
CA,"Amador County",40541,454329,41259,517102
CA,"Napa County",137608,1311166,136207,1556644
CA,"Santa Clara County",1930598,2091910,1885508,2495908
CA,"Alameda County",1679844,1330441,1648556,1648755
CA,"El Dorado County",191114,713982,193221,945856
CA,"Sacramento County",1586241,543178,1588921,667245
CA,"Sierra County",3228,378653,3283,436335
CA,"Placer County",405741,790757,412300,959550
CA,"Yuba County",81932,389385,83421,457206
CA,"Mono County",13206,795531,13247,918637
CA,"Mendocino County",91354,580044,91305,661363
CA,"Lake County",68174,380516,68766,443526
CA,"Contra Costa County",1165562,1290897,1161413,1628027
CA,"Shasta County",181893,402839,182139,487151
CA,"Marin County",261776,2080144,260206,2399166
CA,"Trinity County",16088,396003,16060,449546
CA,"Tehama County",65615,373157,65498,427169
CA,"Merced County",281726,389196,286461,475002
CA,"Siskiyou County",43962,331427,44118,383252
CA,"Calaveras County",45327,479858,46221,599655
CA,"Nevada County",102199,747659,103487,997433
CA,"Santa Cruz County",270353,1276642,267792,1588754
CA,"Fresno County",1008966,411469,1013581,498148
CA,"Madera County",156620,414809,159410,482434
CA,"San Joaquin County",780517,543171,789410,698410
CA,"Imperial County",179489,297731,179851,361708
CA,"San Mateo County",762453,2393058,737888,2724181
CA,"Colusa County",21853,380883,21917,440016
CA,"Tuolumne County",55516,0,55810,490784
CA,"San Luis Obispo County",282231,960304,283159,1108381
CA,"Mariposa County",17124,432395,17147,492375
CA,"Kings County",152627,332546,153443,384702
CA,"Inyo County",19023,507071,18970,573222
CA,"San Benito County",64507,785269,66677,949546
CA,"Plumas County",19769,453203,19915,520776
CA,"Kern County",909997,333073,917673,397027
CA,"Ventura County",842921,914496,839784,1097042
CA,"Sutter County",99480,458406,99063,550276
CA,"San Francisco County",870014,2117986,815201,2200765
CO,"Saguache County",6383,283561,6471,328345
CO,"Boulder County",330811,993489,329543,1190078
CO,"Archuleta County",13424,570934,13790,664283
CO,"Pueblo County",168467,302551,169622,362969
CO,"Eagle County",55665,1870386,55727,2193412
CO,"Bent County",5635,148119,5759,175738
CO,"Douglas County",360102,755406,368990,922593
CO,"Rio Blanco County",6518,394509,6476,444747
CO,"Adams County",520163,493387,522140,591836
CO,"Rio Grande County",11538,359956,11408,404068
CO,"Prowers County",11986,175703,11996,199578
CO,"Mineral County",867,449186,924,525653
CO,"Otero County",18667,183447,18594,211937
CO,"Larimer County",359686,616588,362533,706830
CO,"Hinsdale County",794,497749,781,556455
CO,"Summit County",30971,1206347,30941,1505509
CO,"La Plata County",55642,682457,56250,824554
CO,"Crowley County",5893,138332,6012,166478
CO,"Las Animas County",14564,260013,14633,298957
CO,"Lincoln County",5669,249551,5688,291771
CO,"Huerfano County",6810,289485,6920,335845
CO,"Gilpin County",5810,537868,5873,626030
CO,"Yuma County",9979,293905,9941,329377
CO,"Park County",17421,508726,17720,594137
CO,"Broomfield County",74513,709434,75325,824005
CO,"Garfield County",61776,737926,62161,896656
CO,"Chaffee County",19571,581544,20074,673826
CO,"Fremont County",48981,371757,49661,420851
CO,"Lake County",7409,388190,7407,454932
CO,"Washington County",4815,215490,4861,251721
CO,"Phillips County",4534,244568,4512,284086
CO,"San Miguel County",8055,2661561,8074,3100774
CO,"Ouray County",4869,752291,5035,870600
CO,"El Paso County",731847,503575,737867,614098
CO,"Mesa County",155939,421539,157335,503826
CO,"Alamosa County",16362,282687,16547,318987
CO,"Weld County",331358,555692,340036,637756
CO,"Gunnison County",16945,907475,17281,1067068
CO,"Custer County",4712,430638,5045,500466
CO,"Moffat County",13267,296644,13185,337873
CO,"Logan County",21495,299199,21487,342258
CO,"Denver County",717630,788173,711463,904270
CO,"Arapahoe County",655112,600780,654900,713891
CO,"Conejos County",7464,217055,7612,243734
CO,"Baca County",3486,0,3514,0
CO,"Costilla County",3506,198216,3625,231478
CO,"Montrose County",42798,449339,43168,515137
CO,"Kit Carson County",7064,257090,6950,295687
CO,"Morgan County",29065,346164,29008,402614
CO,"Jefferson County",582928,684284,579581,842109
CO,"Elbert County",26206,721914,27128,830176
CO,"San Juan County",710,429771,733,487964
CO,"Teller County",24726,492840,24926,575743
CO,"Pitkin County",17342,5502491,17348,6354933
CO,"Sedgwick County",2390,185421,2336,210152
CO,"Montezuma County",25858,401310,26175,459761
CO,"Routt County",24839,1153644,25091,1476627
CO,"Grand County",15733,799788,15860,937731
CO,"Dolores County",2338,310152,2397,352125
CO,"Cheyenne County",1736,222438,1707,252267
CO,"Kiowa County",1452,148411,1452,171549
CO,"Clear Creek County",9404,636347,9446,741079
CO,"Jackson County",1376,314178,1363,339627
CO,"Delta County",31232,412479,31661,475459
CT,"Windham County",116240,280018,116418,334166
CT,"Litchfield County",184874,432280,185000,544758
CT,"Fairfield County",955895,922482,959768,1119934
CT,"Tolland County",149650,339006,150293,399395
CT,"New London County",268248,393881,268805,478049
CT,"Middlesex County",163923,464449,164759,552421
CT,"Hartford County",897932,350651,896854,406764
CT,"New Haven County",863498,366576,863700,448461
DC,"District of Columbia",690093,1109651,670050,1203102
DC,"District of Columbia",690093,1109651,670050,1203102
DE,"Sussex County",238912,535588,247527,638839
DE,"New Castle County",570718,393318,571708,446222
DE,"Kent County",182256,322742,184149,370106
FL,"Gilchrist County",17928,281237,18360,320987
FL,"Santa Rosa County",189133,360032,193998,429591
FL,"Miami-Dade County",2692459,596580,2662777,670370
FL,"Union County",16126,238522,16335,262841
FL,"Gulf County",14181,504644,14363,578679
FL,"Pasco County",565745,319216,584067,396356
FL,"Wakulla County",33907,287263,34690,320723
FL,"Broward County",1941516,485612,1930983,560992
FL,"De Soto County",34080,255811,34408,292971
FL,"Lafayette County",8252,237085,8382,281823
FL,"Bradford County",28364,248039,28540,279202
FL,"Hardee County",25313,243872,25425,278002
FL,"Baker County",28309,283432,28715,327936
FL,"Seminole County",471058,413608,470093,473446
FL,"Hendry County",39707,236779,40313,272447
FL,"Liberty County",7974,208285,7900,232551
FL,"Okeechobee County",39641,332748,40266,280400
FL,"Levy County",43051,393209,44158,449533
FL,"Brevard County",608007,378252,616628,454258
FL,"Dixie County",16805,205665,17102,235280
FL,"Polk County",729233,274981,753520,325378
FL,"Washington County",25357,231920,25436,261080
FL,"Sarasota County",435664,534224,447057,651224
FL,"Suwannee County",43510,252466,44485,283704
FL,"Lee County",764679,445189,787976,539010
FL,"Indian River County",160345,502173,163662,572240
FL,"Putnam County",73347,252438,74167,295408
FL,"Hamilton County",13988,191165,13993,215986
FL,"Nassau County",90993,539040,94189,620594
FL,"Monroe County",82809,1320607,82170,1531681
FL,"Clay County",218797,319998,222361,374274
FL,"Saint Johns County",276916,526144,292466,638210
FL,"Jefferson County",14560,338275,14555,376453
FL,"Gadsden County",43701,238244,43714,260213
FL,"Citrus County",154403,282325,158083,343505
FL,"Palm Beach County",1492466,586823,1497987,693684
FL,"Marion County",377370,259251,385915,300167
FL,"Hillsborough County",1463380,388853,1478194,473059
FL,"Highlands County",101222,235060,103296,282349
FL,"Taylor County",21760,205864,21815,231606
FL,"Martin County",158529,585662,159942,703531
FL,"Calhoun County",13615,197716,13641,224891
FL,"Manatee County",401443,491912,412703,600250
FL,"Collier County",377079,847823,385980,1031302
FL,"Jackson County",47214,214771,47694,239690
FL,"Okaloosa County",211809,448584,213255,525211
FL,"Franklin County",12456,623012,12572,710291
FL,"Volusia County",554901,345435,564412,409468
FL,"Escambia County",322424,311690,322390,364466
FL,"Lake County",385875,343753,395804,399647
FL,"Alachua County",278684,328933,279238,371807
FL,"Columbia County",69889,249820,70385,309446
FL,"Flagler County",115968,374739,120932,451041
FL,"Sumter County",130897,448142,135638,467140
FL,"Charlotte County",187960,373410,194843,459926
FL,"Holmes County",19622,199463,19784,222853
FL,"Walton County",75855,1118152,80069,1404955
FL,"Madison County",17976,219299,18288,249077
FL,"Duval County",996373,328800,999935,391565
FL,"Orange County",1429899,415287,1422746,473004
FL,"Hernando County",195508,270001,200638,328845
FL,"Pinellas County",958752,443378,956615,545073
FL,"Saint Lucie County",331275,318126,343579,383810
FL,"Leon County",292378,333776,292817,384134
FL,"Glades County",12179,242087,12234,273856
FL,"Osceola County",390855,336695,403282,375710
FL,"Bay County",174461,384483,179168,438659
GA,"Catoosa County",67976,260721,68397,304318
GA,"Liberty County",65220,218738,65711,227680
GA,"Bleckley County",12577,204450,12607,228413
GA,"Appling County",18428,190708,18488,210650
GA,"Spalding County",67413,231020,67909,267885
GA,"Lamar County",18550,241276,19080,274561
GA,"Banks County",18069,308765,18562,347926
GA,"Brantley County",18040,194429,18101,218515
GA,"Monroe County",28046,353091,28712,386180
GA,"Jackson County",76712,337927,80286,406715
GA,"Schley County",4538,209715,4478,234689
GA,"Pike County",18935,317953,19477,357421
GA,"Morgan County",20174,443794,20635,503122
GA,"Pierce County",19722,228842,19976,258477
GA,"Fulton County",1069023,615450,1065334,704075
GA,"Crawford County",12100,214663,12153,238690
GA,"Echols County",3696,178564,3699,190642
GA,"Troup County",69388,237502,69720,259404
GA,"Chatham County",294904,343011,296329,392173
GA,"Berrien County",18159,202801,18147,228260
GA,"Gordon County",57696,244300,58237,277189
GA,"Ben Hill County",17153,160621,17158,178253
GA,"Forsyth County",252786,523324,260206,633453
GA,"Warren County",5205,167115,5240,194048
GA,"Clayton County",297417,190830,297100,225566
GA,"Stewart County",5295,128829,5341,142906
GA,"Jasper County",14638,310519,15278,354187
GA,"Elbert County",19627,195974,19579,220433
GA,"Charlton County",12530,189821,12766,217279
GA,"Gwinnett County",957801,354294,964546,433231
GA,"Miller County",5987,201641,5919,226724
GA,"Dougherty County",85366,173787,84844,190415
GA,"Effingham County",65150,284231,66741,320009
GA,"Turner County",8971,170528,8966,194567
GA,"Calhoun County",5560,133535,5509,143647
GA,"Walker County",67711,225172,68510,289778
GA,"Clinch County",6723,161452,6725,181855
GA,"Pulaski County",9863,207694,9917,230089
GA,"Bibb County",157104,193105,156762,219546
GA,"Twiggs County",7986,147206,7856,169933
GA,"Talbot County",5731,227102,5742,249932
GA,"Washington County",19927,191551,19785,211171
GA,"Putnam County",22140,482725,22585,540961
GA,"Hall County",203589,405534,207369,480434
GA,"Union County",24766,361226,25521,409617
GA,"Heard County",11465,238811,11565,266736
GA,"Floyd County",98593,242639,98771,273133
GA,"Camden County",54911,281006,55664,319046
GA,"McIntosh County",10982,306242,11123,339331
GA,"Barrow County",83963,271796,86658,326384
GA,"Treutlen County",6390,156684,6306,172221
GA,"Cook County",17232,194845,17225,217035
GA,"Worth County",20719,230908,20554,256520
GA,"Laurens County",49497,216868,49547,239799
GA,"Dekalb County",763831,449185,757718,522161
GA,"Dodge County",19849,174315,19759,196355
GA,"Chattahoochee County",9482,164984,9048,180683
GA,"McDuffie County",21587,232219,21633,252544
GA,"Meriwether County",20619,216979,20793,245139
GA,"Franklin County",23429,279517,23785,318420
GA,"Long County",16287,247717,17152,270541
GA,"Screven County",14060,201724,14105,227233
GA,"Dawson County",27047,592532,28497,674348
GA,"Bacon County",11123,183802,11079,201912
GA,"Bulloch County",81378,0,82442,266486
GA,"Cobb County",766209,442122,766802,524228
GA,"Wheeler County",7430,162875,7471,177403
GA,"Macon County",12021,138046,12004,153850
GA,"Emanuel County",22730,171073,22716,190563
GA,"Early County",10813,182709,10619,200462
GA,"Paulding County",169660,0,173780,352375
GA,"Sumter County",29553,195867,29283,217506
GA,"Jefferson County",15658,181465,15524,200066
GA,"Baker County",2844,193879,2819,211603
GA,"Evans County",10757,209529,10672,234055
GA,"Candler County",11001,231020,11037,254937
GA,"Houston County",164242,246252,166829,270519
GA,"Muscogee County",206960,214871,205617,241458
GA,"Baldwin County",43773,282683,43781,317933
GA,"Colquitt County",45866,210210,45812,233816
GA,"Thomas County",45766,275282,45842,307546
GA,"Newton County",112780,260486,115355,307414
GA,"Bartow County",109311,296612,110843,345762
GA,"Clay County",2835,216150,2882,241634
GA,"Burke County",24621,217151,24310,243627
GA,"Randolph County",6377,149914,6287,165482
GA,"Crisp County",20042,254020,19879,278038
GA,"Mitchell County",21677,176826,21521,196425
GA,"Habersham County",46105,253913,46774,287368
GA,"Butts County",25542,250411,25781,285121
GA,"Fannin County",25396,435039,25817,500688
GA,"Wilkes County",9556,227898,9513,259223
GA,"Coffee County",43047,215551,43386,239545
GA,"Oglethorpe County",14865,271894,15140,312381
GA,"Towns County",12539,398907,12875,452517
GA,"Whitfield County",102727,239221,102848,277413
GA,"Dooly County",11142,194503,10885,214334
GA,"Dade County",16224,269409,16326,302303
GA,"Glascock County",2883,189635,2919,211478
GA,"Telfair County",12461,146419,12414,166100
GA,"Grady County",26221,260535,25918,291942
GA,"Douglas County",144497,281103,145814,348032
GA,"Hart County",25866,379974,26409,430397
GA,"Tattnall County",22852,195109,23052,214049
GA,"Polk County",42925,199451,43496,230527
GA,"Lincoln County",7704,283890,7749,323290
GA,"Rockdale County",93614,286495,94082,341900
GA,"Lanier County",9916,183039,9907,204953
GA,"Johnson County",9168,156757,9160,173735
GA,"Webster County",2350,160175,2367,183778
GA,"Chattooga County",24921,181695,24932,200383
GA,"Fayette County",119441,473994,120574,525267
GA,"Jenkins County",8662,173294,8639,198899
GA,"Tift County",41348,248165,41212,274624
GA,"Walton County",97135,338964,99853,400744
GA,"Rabun County",16894,690410,17119,790937
GA,"Stephens County",26800,229759,26865,259306
GA,"Murray County",39938,215188,39951,241691
GA,"Coweta County",146653,360954,149956,419344
GA,"Richmond County",206328,0,205673,228482
GA,"Atkinson County",8301,145688,8391,164766
GA,"Quitman County",2224,161256,2243,173144
GA,"Seminole County",9138,189260,9197,209932
GA,"Jeff Davis County",14777,170792,14872,195325
GA,"White County",28090,300470,28442,341644
GA,"Upson County",27712,179642,27720,204067
GA,"Columbia County",156773,328508,159639,372142
GA,"Toombs County",27052,202595,26911,224154
GA,"Marion County",7520,200426,7440,223386
GA,"Wilkinson County",8844,152759,8831,168839
GA,"Peach County",28035,233872,28417,257801
GA,"Brooks County",16232,230690,16270,254423
GA,"Decatur County",29338,209574,29038,233224
GA,"Lowndes County",118316,227069,119276,258326
GA,"Madison County",30263,270460,30885,304996
GA,"Irwin County",9643,199730,9618,224828
GA,"Hancock County",8722,272314,8630,311905
