COUNTY,STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021
171,IN,Warren County,8413,8475
173,IN,Warrick County,63966,64514
175,IN,Washington County,28220,28102
177,IN,Wayne County,66455,66456
179,IN,Wells County,28179,28197
181,IN,White County,24636,24651
183,IN,Whitley County,34316,34430
0,IA,Iowa,3188669,3193079
1,IA,Adair County,7477,7541
3,IA,Adams County,3697,3641
5,IA,Allamakee County,14067,13926
7,IA,Appanoose County,12282,12257
9,IA,Audubon County,5671,5635
11,IA,Benton County,25536,25691
13,IA,Black Hawk County,130980,130368
15,IA,Boone County,26691,26723
17,IA,Bremer County,24974,25081
19,IA,Buchanan County,20586,20657
21,IA,Buena Vista County,20776,20771
23,IA,Butler County,14311,14332
25,IA,Calhoun County,9886,9915
27,IA,Carroll County,20702,20692
29,IA,Cass County,13104,13050
31,IA,Cedar County,18495,18410
33,IA,Cerro Gordo County,42965,42706
35,IA,Cherokee County,11632,11503
37,IA,Chickasaw County,11970,11887
39,IA,Clarke County,9726,9785
41,IA,Clay County,16333,16440
43,IA,Clayton County,16996,16998
45,IA,Clinton County,46418,46463
47,IA,Crawford County,16453,16193
49,IA,Dallas County,100486,103796
51,IA,Davis County,9109,9138
53,IA,Decatur County,7610,7659
55,IA,Delaware County,17458,17510
57,IA,Des Moines County,38831,38491
59,IA,Dickinson County,17747,17851
61,IA,Dubuque County,99229,98718
63,IA,Emmet County,9332,9321
65,IA,Fayette County,19399,19258
67,IA,Floyd County,15552,15413
69,IA,Franklin County,9983,9952
71,IA,Fremont County,6560,6567
73,IA,Greene County,8746,8717
75,IA,Grundy County,12312,12347
77,IA,Guthrie County,10612,10567
79,IA,Hamilton County,15020,14887
81,IA,Hancock County,10757,10663
83,IA,Hardin County,16821,16708
85,IA,Harrison County,14546,14669
87,IA,Henry County,20412,20387
89,IA,Howard County,9487,9478
91,IA,Humboldt County,9595,9634
93,IA,Ida County,7007,6956
95,IA,Iowa County,16679,16568
97,IA,Jackson County,19437,19368
99,IA,Jasper County,37802,37764
101,IA,Jefferson County,15659,15647
103,IA,Johnson County,152984,154748
105,IA,Jones County,20647,20805
107,IA,Keokuk County,9995,9914
109,IA,Kossuth County,14786,14529
111,IA,Lee County,33512,33215
113,IA,Linn County,230263,228939
115,IA,Louisa County,10806,10749
117,IA,Lucas County,8615,8710
119,IA,Lyon County,11917,12011
121,IA,Madison County,16626,16773
123,IA,Mahaska County,22148,21984
125,IA,Marion County,33377,33380
127,IA,Marshall County,40059,39853
129,IA,Mills County,14405,14465
131,IA,Mitchell County,10582,10555
133,IA,Monona County,8742,8574
135,IA,Monroe County,7582,7610
137,IA,Montgomery County,10335,10322
139,IA,Muscatine County,43113,42688
141,IA,O Brien County,14154,14015
143,IA,Osceola County,6189,6159
145,IA,Page County,15180,15197
147,IA,Palo Alto County,8961,8906
149,IA,Plymouth County,25681,25650
151,IA,Pocahontas County,7075,7074
153,IA,Polk County,492769,496844
155,IA,Pottawattamie County,93560,93304
157,IA,Poweshiek County,18643,18586
159,IA,Ringgold County,4639,4639
161,IA,Sac County,9791,9752
163,IA,Scott County,174488,174170
165,IA,Shelby County,11699,11770
167,IA,Sioux County,35869,35893
169,IA,Story County,98615,99472
171,IA,Tama County,17072,16867
173,IA,Taylor County,5861,5868
175,IA,Union County,12097,12018
177,IA,Van Buren County,7204,7243
179,IA,Wapello County,35341,35256
181,IA,Warren County,52548,53402
183,IA,Washington County,22511,22491
185,IA,Wayne County,6509,6508
187,IA,Webster County,36954,37147
189,IA,Winnebago County,10650,10656
191,IA,Winneshiek County,20031,19892
193,IA,Woodbury County,105829,105607
195,IA,Worth County,7425,7385
197,IA,Wright County,12914,12785
0,KS,Kansas,2935880,2934582
1,KS,Allen County,12537,12464
3,KS,Anderson County,7850,7778
5,KS,Atchison County,16305,16239
7,KS,Barber County,4198,4110
9,KS,Barton County,25419,25216
11,KS,Bourbon County,14333,14323
13,KS,Brown County,9473,9455
15,KS,Butler County,67401,67889
17,KS,Chase County,2564,2598
19,KS,Chautauqua County,3386,3395
21,KS,Cherokee County,19275,19130
23,KS,Cheyenne County,2620,2633
25,KS,Clark County,1973,1977
27,KS,Clay County,8112,8077
29,KS,Cloud County,8988,8928
31,KS,Coffey County,8370,8338
33,KS,Comanche County,1681,1670
35,KS,Cowley County,34498,34496
37,KS,Crawford County,38930,39110
39,KS,Decatur County,2749,2751
41,KS,Dickinson County,18353,18459
43,KS,Doniphan County,7469,7471
45,KS,Douglas County,118814,119363
47,KS,Edwards County,2898,2832
49,KS,Elk County,2475,2441
51,KS,Ellis County,28931,28790
53,KS,Ellsworth County,6354,6336
55,KS,Finney County,38297,38107
57,KS,Ford County,34206,34159
59,KS,Franklin County,26028,25986
61,KS,Geary County,36747,35934
63,KS,Gove County,2694,2755
65,KS,Graham County,2405,2400
67,KS,Grant County,7327,7324
69,KS,Gray County,5633,5644
71,KS,Greeley County,1277,1304
73,KS,Greenwood County,5972,5939
75,KS,Hamilton County,2494,2484
77,KS,Harper County,5461,5331
79,KS,Harvey County,33942,33817
81,KS,Haskell County,3756,3668
83,KS,Hodgeman County,1718,1710
85,KS,Jackson County,13230,13261
87,KS,Jefferson County,18300,18411
89,KS,Jewell County,2926,2937
91,KS,Johnson County,610536,613219
93,KS,Kearny County,3971,3891
95,KS,Kingman County,7446,7392
97,KS,Kiowa County,2452,2392
99,KS,Labette County,20119,19912
101,KS,Lane County,1568,1565
103,KS,Leavenworth County,81870,82184
105,KS,Lincoln County,2947,2903
107,KS,Linn County,9582,9747
109,KS,Logan County,2743,2722
111,KS,Lyon County,32100,31998
113,KS,McPherson County,30160,30146
115,KS,Marion County,11754,11712
117,KS,Marshall County,10014,9979
119,KS,Meade County,4045,4022
121,KS,Miami County,34183,34593
123,KS,Mitchell County,5764,5748
125,KS,Montgomery County,31360,31156
127,KS,Morris County,5360,5356
129,KS,Morton County,2695,2692
131,KS,Nemaha County,10218,10216
133,KS,Neosho County,15909,15784
135,KS,Ness County,2678,2672
137,KS,Norton County,5435,5342
139,KS,Osage County,15724,15768
141,KS,Osborne County,3494,3498
143,KS,Ottawa County,5733,5838
145,KS,Pawnee County,6244,6225
147,KS,Phillips County,4953,4815
149,KS,Pottawatomie County,25392,25790
151,KS,Pratt County,9151,9181
153,KS,Rawlins County,2555,2549
155,KS,Reno County,61808,61414
157,KS,Republic County,4680,4662
159,KS,Rice County,9374,9390
161,KS,Riley County,71996,72208
163,KS,Rooks County,4894,4831
165,KS,Rush County,2944,2953
167,KS,Russell County,6672,6703
169,KS,Saline County,54232,53888
171,KS,Scott County,5137,5131
173,KS,Sedgwick County,524246,523828
175,KS,Seward County,21832,21747
177,KS,Shawnee County,178608,178264
179,KS,Sheridan County,2442,2478
181,KS,Sherman County,5882,5895
183,KS,Smith County,3559,3576
185,KS,Stafford County,4064,4034
187,KS,Stanton County,2072,2044
189,KS,Stevens County,5236,5293
191,KS,Sumner County,22332,22385
193,KS,Thomas County,7916,7877
195,KS,Trego County,2808,2793
197,KS,Wabaunsee County,6885,6966
199,KS,Wallace County,1514,1508
201,KS,Washington County,5526,5511
203,KS,Wichita County,2144,2082
205,KS,Wilson County,8577,8526
207,KS,Woodson County,3103,3102
209,KS,Wyandotte County,168873,167046
0,KY,Kentucky,4503958,4509394
1,KY,Adair County,18870,18932
3,KY,Allen County,20595,20797
5,KY,Anderson County,23869,24035
7,KY,Ballard County,7724,7695
9,KY,Barren County,44445,44544
11,KY,Bath County,12708,12778
13,KY,Bell County,23942,23858
15,KY,Boone County,136403,137412
17,KY,Bourbon County,20285,20229
19,KY,Boyd County,48175,47899
21,KY,Boyle County,30701,30747
23,KY,Bracken County,8390,8439
25,KY,Breathitt County,13679,13553
27,KY,Breckinridge County,20432,20651
29,KY,Bullitt County,82293,82918
31,KY,Butler County,12318,12294
33,KY,Caldwell County,12632,12624
35,KY,Calloway County,37147,37560
37,KY,Campbell County,93086,93050
39,KY,Carlisle County,4811,4791
41,KY,Carroll County,10833,10863
43,KY,Carter County,26575,26412
45,KY,Casey County,15886,15866
47,KY,Christian County,72696,72357
49,KY,Clark County,36999,36871
51,KY,Clay County,20294,20206
53,KY,Clinton County,9216,9265
55,KY,Crittenden County,8985,8947
57,KY,Cumberland County,5856,5879
59,KY,Daviess County,103291,103063
61,KY,Edmonson County,12132,12291
63,KY,Elliott County,7334,7381
65,KY,Estill County,14134,14092
67,KY,Fayette County,322403,321793
69,KY,Fleming County,15091,15224
71,KY,Floyd County,35756,35274
73,KY,Franklin County,51569,51682
75,KY,Fulton County,6501,6512
77,KY,Gallatin County,8667,8775
79,KY,Garrard County,16935,17362
81,KY,Grant County,25008,25244
83,KY,Graves County,36512,36615
85,KY,Grayson County,26410,26524
87,KY,Green County,11112,11291
89,KY,Greenup County,35852,35649
91,KY,Hancock County,9092,9064
93,KY,Hardin County,110719,111607
95,KY,Harlan County,26689,26164
97,KY,Harrison County,18705,18950
99,KY,Hart County,19271,19460
101,KY,Henderson County,44645,44329
103,KY,Henry County,15666,15657
105,KY,Hickman County,4521,4424
107,KY,Hopkins County,45367,45138
109,KY,Jackson County,12951,12984
111,KY,Jefferson County,782123,777874
113,KY,Jessamine County,52972,53626
115,KY,Johnson County,22634,22556
117,KY,Kenton County,169183,169495
119,KY,Knott County,14160,14053
121,KY,Knox County,30135,29909
123,KY,Larue County,14870,15028
125,KY,Laurel County,62662,62561
127,KY,Lawrence County,16288,16290
129,KY,Lee County,7360,7451
131,KY,Leslie County,10455,10278
133,KY,Letcher County,21428,21253
135,KY,Lewis County,13061,12987
137,KY,Lincoln County,24238,24243
139,KY,Livingston County,8845,8959
141,KY,Logan County,27497,27771
143,KY,Lyon County,8664,8803
145,KY,McCracken County,67836,67454
147,KY,McCreary County,16851,16892
149,KY,McLean County,9114,9100
151,KY,Madison County,92920,94666
153,KY,Magoffin County,11594,11497
155,KY,Marion County,19580,19725
157,KY,Marshall County,31665,31748
159,KY,Martin County,11228,11140
161,KY,Mason County,17085,16931
163,KY,Meade County,29981,30131
165,KY,Menifee County,6115,6194
167,KY,Mercer County,22616,22850
169,KY,Metcalfe County,10271,10349
171,KY,Monroe County,11301,11233
173,KY,Montgomery County,28091,28219
175,KY,Morgan County,13719,13820
177,KY,Muhlenberg County,30875,30694
179,KY,Nelson County,46756,47098
181,KY,Nicholas County,7536,7712
183,KY,Ohio County,23726,23688
185,KY,Oldham County,67642,68685
187,KY,Owen County,11294,11294
189,KY,Owsley County,4018,3953
191,KY,Pendleton County,14640,14607
193,KY,Perry County,28378,27929
195,KY,Pike County,58408,57391
197,KY,Powell County,13085,13133
199,KY,Pulaski County,65016,65423
201,KY,Robertson County,2184,2257
203,KY,Rockcastle County,16053,16115
205,KY,Rowan County,24732,24861
207,KY,Russell County,17975,18156
209,KY,Scott County,57477,58252
211,KY,Shelby County,48179,48461
213,KY,Simpson County,19620,19718
215,KY,Spencer County,19564,19916
217,KY,Taylor County,26020,26235
219,KY,Todd County,12280,12285
221,KY,Trigg County,14068,14192
223,KY,Trimble County,8461,8530
225,KY,Union County,13646,13544
227,KY,Warren County,134933,137212
229,KY,Washington County,12024,12072
231,KY,Wayne County,19528,19540
233,KY,Webster County,12989,12813
235,KY,Whitley County,36687,36939
237,KY,Wolfe County,6552,6507
239,KY,Woodford County,26892,27075
0,LA,Louisiana,4651203,4624047
1,LA,Acadia Parish,57455,57288
3,LA,Allen Parish,22697,22687
5,LA,Ascension Parish,126984,128369
7,LA,Assumption Parish,20968,20689
9,LA,Avoyelles Parish,39616,39236
11,LA,Beauregard Parish,36573,36584
13,LA,Bienville Parish,12899,12776
15,LA,Bossier Parish,128615,129144
17,LA,Caddo Parish,237056,233092
19,LA,Calcasieu Parish,216416,205282
21,LA,Caldwell Parish,9617,9571
23,LA,Cameron Parish,5619,5080
25,LA,Catahoula Parish,8859,8805
27,LA,Claiborne Parish,14109,14038
29,LA,Concordia Parish,18589,18376
31,LA,De Soto Parish,26854,26919
33,LA,East Baton Rouge Parish,455884,453301
35,LA,East Carroll Parish,7383,7220
37,LA,East Feliciana Parish,19451,19338
39,LA,Evangeline Parish,32307,32215
41,LA,Franklin Parish,19721,19668
43,LA,Grant Parish,22129,22236
45,LA,Iberia Parish,69725,68975
47,LA,Iberville Parish,30095,29824
49,LA,Jackson Parish,14989,14876
51,LA,Jefferson Parish,439845,433688
53,LA,Jefferson Davis Parish,32166,32345
55,LA,Lafayette Parish,242004,244205
57,LA,Lafourche Parish,97495,97504
59,LA,LaSalle Parish,14812,14834
61,LA,Lincoln Parish,48259,48152
63,LA,Livingston Parish,142726,145830
65,LA,Madison Parish,9927,9799
67,LA,Morehouse Parish,25430,25025
69,LA,Natchitoches Parish,37349,37026
71,LA,Orleans Parish,383282,376971
73,LA,Ouachita Parish,160003,158768
75,LA,Plaquemines Parish,23466,23303
77,LA,Pointe Coupee Parish,20689,20356
79,LA,Rapides Parish,129607,128654
81,LA,Red River Parish,7619,7564
83,LA,Richland Parish,19997,19805
85,LA,Sabine Parish,22118,22135
87,LA,Saint Bernard Parish,43838,44258
89,LA,Saint Charles Parish,52481,52282
91,LA,Saint Helena Parish,10889,10912
93,LA,Saint James Parish,20127,19742
95,LA,Saint John the Baptist Parish,42394,42094
97,LA,Saint Landry Parish,82273,82071
99,LA,Saint Martin Parish,51604,51540
101,LA,Saint Mary Parish,49140,48232
103,LA,Saint Tammany Parish,264933,269388
105,LA,Tangipahoa Parish,133549,135217
107,LA,Tensas Parish,4116,4043
109,LA,Terrebonne Parish,109319,108708
111,LA,Union Parish,21124,21091
113,LA,Vermilion Parish,57289,57204
115,LA,Vernon Parish,48582,48027
117,LA,Washington Parish,45370,45133
119,LA,Webster Parish,36864,36184
121,LA,West Baton Rouge Parish,27236,27792
123,LA,West Carroll Parish,9694,9594
125,LA,West Feliciana Parish,15256,15494
127,LA,Winn Parish,13721,13488
0,ME,Maine,1362280,1372247
1,ME,Androscoggin County,111039,111034
3,ME,Aroostook County,66994,66859
5,ME,Cumberland County,303312,305231
7,ME,Franklin County,29418,29687
9,ME,Hancock County,55460,56192
11,ME,Kennebec County,123754,124486
13,ME,Knox County,40609,41084
15,ME,Lincoln County,35192,35828
17,ME,Oxford County,57849,58629
19,ME,Penobscot County,152007,152765
21,ME,Piscataquis County,16768,17165
23,ME,Sagadahoc County,36688,37071
25,ME,Somerset County,50404,50592
27,ME,Waldo County,39635,39912
29,ME,Washington County,31062,31121
31,ME,York County,212089,214591
0,MD,Maryland,6172679,6165129
1,MD,Allegany County,67947,67729
3,MD,Anne Arundel County,588769,590336
5,MD,Baltimore County,853073,849316
9,MD,Calvert County,92857,93928
11,MD,Caroline County,33290,33386
13,MD,Carroll County,172890,173873
15,MD,Cecil County,103740,103905
17,MD,Charles County,166682,168698
19,MD,Dorchester County,32508,32489
21,MD,Frederick County,272737,279835
23,MD,Garrett County,28761,28702
25,MD,Harford County,261122,262977
27,MD,Howard County,332722,334529
29,MD,Kent County,19142,19270
31,MD,Montgomery County,1061243,1054827
33,MD,Prince Georges County,965601,955306
35,MD,Queen Annes County,49983,50798
37,MD,Saint Marys County,113953,114468
39,MD,Somerset County,24567,24584
41,MD,Talbot County,37456,37626
43,MD,Washington County,154586,154937
45,MD,Wicomico County,103473,103980
47,MD,Worcester County,52445,53132
510,MD,Baltimore city,583132,576498
0,MA,Massachusetts,7022220,6984723
1,MA,Barnstable County,228969,232411
3,MA,Berkshire County,128758,128657
5,MA,Bristol County,579172,580164
7,MA,Dukes County,20581,21097
9,MA,Essex County,809218,807074
11,MA,Franklin County,70988,71015
13,MA,Hampden County,464908,462718
15,MA,Hampshire County,162064,161572
17,MA,Middlesex County,1629422,1614742
19,MA,Nantucket County,14244,14491
21,MA,Norfolk County,726025,724505
23,MA,Plymouth County,530979,533003
25,MA,Suffolk County,795431,771245
27,MA,Worcester County,861461,862029
0,MI,Michigan,10067664,10050811
1,MI,Alcona County,10158,10235
3,MI,Alger County,8834,8821
5,MI,Allegan County,120596,120950
7,MI,Alpena County,28877,28893
9,MI,Antrim County,23421,23813
11,MI,Arenac County,14990,14975
13,MI,Baraga County,8128,8215
15,MI,Barry County,62548,62992
17,MI,Bay County,103594,102985
19,MI,Benzie County,17974,18223
21,MI,Berrien County,154095,153101
23,MI,Branch County,44810,44985
25,MI,Calhoun County,134113,133819
27,MI,Cass County,51563,51483
29,MI,Charlevoix County,26012,26086
31,MI,Cheboygan County,25599,25752
33,MI,Chippewa County,36744,36816
35,MI,Clare County,30822,31065
37,MI,Clinton County,79128,79426
39,MI,Crawford County,12965,13204
41,MI,Delta County,36842,36826
43,MI,Dickinson County,25886,25787
45,MI,Eaton County,109106,108944
47,MI,Emmet County,34090,34225
49,MI,Genesee County,405648,404208
51,MI,Gladwin County,25369,25485
53,MI,Gogebic County,14315,14361
55,MI,Grand Traverse County,95315,95860
57,MI,Gratiot County,41662,41544
59,MI,Hillsdale County,45677,45546
61,MI,Houghton County,37160,37313
63,MI,Huron County,31351,31252
65,MI,Ingham County,284520,284034
67,MI,Ionia County,66861,67197
69,MI,Iosco County,25191,25369
71,MI,Iron County,11637,11635
73,MI,Isabella County,64488,64813
75,MI,Jackson County,160200,160050
77,MI,Kalamazoo County,261629,261108
79,MI,Kalkaska County,17925,17979
81,MI,Kent County,658040,658046
83,MI,Keweenaw County,2055,2107
85,MI,Lake County,12099,12308
87,MI,Lapeer County,88528,88513
89,MI,Leelanau County,22302,22623
91,MI,Lenawee County,99214,98956
93,MI,Livingston County,193973,195014
95,MI,Luce County,5325,5309
97,MI,Mackinac County,10830,10906
99,MI,Macomb County,880349,876792
101,MI,Manistee County,25063,25350
103,MI,Marquette County,65931,66103
105,MI,Mason County,29064,29383
107,MI,Mecosta County,39781,40031
109,MI,Menominee County,23423,23299
111,MI,Midland County,83476,83457
113,MI,Missaukee County,15067,15130
115,MI,Monroe County,154796,155274
117,MI,Montcalm County,66515,67220
119,MI,Montmorency County,9155,9297
121,MI,Muskegon County,175817,176511
123,MI,Newaygo County,50042,50296
125,MI,Oakland County,1272408,1270017
127,MI,Oceana County,26688,26815
129,MI,Ogemaw County,20740,20726
131,MI,Ontonagon County,5804,5868
133,MI,Osceola County,22887,23105
135,MI,Oscoda County,8234,8311
137,MI,Otsego County,25102,25289
139,MI,Ottawa County,296787,299157
141,MI,Presque Isle County,12979,13093
143,MI,Roscommon County,23432,23633
145,MI,Saginaw County,189831,189591
147,MI,Saint Clair County,160265,160053
149,MI,Saint Joseph County,60902,60758
151,MI,Sanilac County,40506,40506
153,MI,Schoolcraft County,8041,8030
155,MI,Shiawassee County,67983,67877
157,MI,Tuscola County,53274,52917
159,MI,Van Buren County,75556,75658
161,MI,Washtenaw County,371656,369390
163,MI,Wayne County,1790225,1774816
165,MI,Wexford County,33676,33901
0,MN,Minnesota,5707165,5707390
1,MN,Aitkin County,15693,15887
3,MN,Anoka County,364299,367018
5,MN,Becker County,35147,35219
7,MN,Beltrami County,46230,46380
9,MN,Benton County,41338,41459
11,MN,Big Stone County,5147,5145
13,MN,Blue Earth County,69173,69280
15,MN,Brown County,25885,25819
17,MN,Carlton County,36156,36409
19,MN,Carver County,107286,108626
21,MN,Cass County,30125,30639
23,MN,Chippewa County,12593,12357
25,MN,Chisago County,56670,57469
27,MN,Clay County,65351,65574
29,MN,Clearwater County,8580,8576
31,MN,Cook County,5592,5617
33,MN,Cottonwood County,11489,11569
35,MN,Crow Wing County,66236,67270
37,MN,Dakota County,440317,442038
39,MN,Dodge County,20861,20935
41,MN,Douglas County,39079,39238
43,MN,Faribault County,13888,13909
45,MN,Fillmore County,21246,21271
47,MN,Freeborn County,30883,30749
49,MN,Goodhue County,47536,47968
51,MN,Grant County,6080,6153
53,MN,Hennepin County,1281267,1267416
55,MN,Houston County,18818,18778
57,MN,Hubbard County,21380,21715
59,MN,Isanti County,41383,41906
61,MN,Itasca County,44984,45070
63,MN,Jackson County,9969,9990
65,MN,Kanabec County,16040,16159
67,MN,Kandiyohi County,43685,43767
69,MN,Kittson County,4180,4146
71,MN,Koochiching County,12031,11941
73,MN,Lac qui Parle County,6701,6684
75,MN,Lake County,10885,10986
77,MN,Lake of the Woods County,3760,3823
79,MN,Le Sueur County,28627,28841
81,MN,Lincoln County,5628,5567
83,MN,Lyon County,25174,25231
85,MN,McLeod County,36701,36735
87,MN,Mahnomen County,5374,5414
89,MN,Marshall County,9035,8988
91,MN,Martin County,19970,19915
93,MN,Meeker County,23428,23376
95,MN,Mille Lacs County,26410,26867
97,MN,Morrison County,33980,33992
99,MN,Mower County,40049,40158
101,MN,Murray County,8168,8144
103,MN,Nicollet County,34490,34332
105,MN,Nobles County,22183,21991
107,MN,Norman County,6422,6416
109,MN,Olmsted County,162991,163436
111,MN,Otter Tail County,60024,60046
113,MN,Pennington County,13939,13780
115,MN,Pine County,28854,29302
117,MN,Pipestone County,9405,9313
119,MN,Polk County,31051,30757
121,MN,Pope County,11309,11403
123,MN,Ramsey County,551480,543257
125,MN,Red Lake County,3936,3933
127,MN,Redwood County,15391,15366
129,MN,Renville County,14684,14608
131,MN,Rice County,67030,67262
133,MN,Rock County,9705,9680
135,MN,Roseau County,15294,15258
137,MN,Saint Louis County,199962,199182
139,MN,Scott County,151265,153268
141,MN,Sherburne County,97479,99074
143,MN,Sibley County,14802,14917
145,MN,Stearns County,158349,158947
147,MN,Steele County,37352,37349
149,MN,Stevens County,9646,9700
151,MN,Swift County,9791,9749
153,MN,Todd County,25250,25237
155,MN,Traverse County,3346,3286
157,MN,Wabasha County,21417,21509
159,MN,Wadena County,14107,14177
161,MN,Waseca County,18954,19000
163,MN,Washington County,268191,272256
165,MN,Watonwan County,11221,11135
167,MN,Wilkin County,6481,6395
169,MN,Winona County,49606,49630
171,MN,Wright County,141759,144845
173,MN,Yellow Medicine County,9492,9411
0,MS,Mississippi,2956870,2949965
1,MS,Adams County,29405,28742
3,MS,Alcorn County,34680,34349
5,MS,Amite County,12698,12637
7,MS,Attala County,17828,17742
9,MS,Benton County,7661,7646
11,MS,Bolivar County,30849,30308
13,MS,Calhoun County,13240,13018
15,MS,Carroll County,9941,9879
17,MS,Chickasaw County,17067,17011
19,MS,Choctaw County,8202,8106
21,MS,Claiborne County,9093,8908
23,MS,Clarke County,15533,15421
25,MS,Clay County,18645,18535
27,MS,Coahoma County,21232,20810
29,MS,Copiah County,28293,27995
31,MS,Covington County,18313,18279
33,MS,DeSoto County,185902,188633
35,MS,Forrest County,78136,77875
37,MS,Franklin County,7653,7676
39,MS,George County,24335,24762
41,MS,Greene County,13501,13630
43,MS,Grenada County,21581,21365
45,MS,Hancock County,46075,46055
47,MS,Harrison County,208613,209396
49,MS,Hinds County,226636,222679
51,MS,Holmes County,16912,16496
53,MS,Humphreys County,7715,7551
55,MS,Issaquena County,1326,1280
57,MS,Itawamba County,23824,23838
59,MS,Jackson County,143291,143987
61,MS,Jasper County,16348,16291
63,MS,Jefferson County,7254,7205
65,MS,Jefferson Davis County,11258,11134
67,MS,Jones County,67142,66744
69,MS,Kemper County,8983,8829
71,MS,Lafayette County,55905,56884
73,MS,Lamar County,64368,65353
75,MS,Lauderdale County,72706,72088
77,MS,Lawrence County,11984,11812
79,MS,Leake County,21247,21196
81,MS,Lee County,83228,82883
83,MS,Leflore County,28196,27557
85,MS,Lincoln County,34815,34943
87,MS,Lowndes County,58726,58150
89,MS,Madison County,109222,109813
91,MS,Marion County,24399,24378
93,MS,Marshall County,33754,33725
95,MS,Monroe County,34093,33883
97,MS,Montgomery County,9793,9729
99,MS,Neshoba County,28992,28993
101,MS,Newton County,21243,21056
103,MS,Noxubee County,10231,10123
105,MS,Oktibbeha County,51710,51842
107,MS,Panola County,33114,32851
109,MS,Pearl River County,56140,56503
111,MS,Perry County,11470,11571
113,MS,Pike County,40209,39973
115,MS,Pontotoc County,31206,31445
117,MS,Prentiss County,24935,24996
119,MS,Quitman County,6153,5935
121,MS,Rankin County,157052,158096
123,MS,Scott County,27958,27598
125,MS,Sharkey County,3767,3663
127,MS,Simpson County,25893,25750
129,MS,Smith County,14204,14191
131,MS,Stone County,18333,18644
133,MS,Sunflower County,25826,25402
135,MS,Tallahatchie County,12670,12366
137,MS,Tate County,28124,28234
139,MS,Tippah County,21732,21635
141,MS,Tishomingo County,18822,18750
143,MS,Tunica County,9720,9696
145,MS,Union County,27780,27953
147,MS,Walthall County,13863,13836
149,MS,Warren County,44548,43579
151,MS,Washington County,44613,43687
153,MS,Wayne County,19778,19709
155,MS,Webster County,9921,9983
157,MS,Wilkinson County,8525,8315
159,MS,Winston County,17673,17596
161,MS,Yalobusha County,12446,12415
163,MS,Yazoo County,26618,26373
0,MO,Missouri,6154481,6168187
1,MO,Adair County,25246,25185
3,MO,Andrew County,18083,18002
5,MO,Atchison County,5306,5234
7,MO,Audrain County,24925,24982
9,MO,Barry County,34539,34712
11,MO,Barton County,11613,11658
13,MO,Bates County,16044,16105
15,MO,Benton County,19409,19908
17,MO,Bollinger County,10525,10556
19,MO,Boone County,183894,185840
21,MO,Buchanan County,84615,83853
23,MO,Butler County,42007,42101
25,MO,Caldwell County,8806,8897
27,MO,Callaway County,44288,44638
29,MO,Camden County,42784,43436
31,MO,Cape Girardeau County,81788,82113
33,MO,Carroll County,8461,8376
35,MO,Carter County,5207,5320
37,MO,Cass County,108113,109638
39,MO,Cedar County,14199,14496
41,MO,Chariton County,7380,7356
43,MO,Christian County,89224,91499
45,MO,Clark County,6632,6736
47,MO,Clay County,253923,255518
49,MO,Clinton County,21204,21287
51,MO,Cole County,77198,77205
53,MO,Cooper County,17089,17115
55,MO,Crawford County,23026,22807
57,MO,Dade County,7586,7599
59,MO,Dallas County,17099,17341
61,MO,Daviess County,8427,8399
63,MO,DeKalb County,11014,11098
65,MO,Dent County,14418,14432
67,MO,Douglas County,11592,11732
69,MO,Dunklin County,28178,27717
71,MO,Franklin County,104769,105231
73,MO,Gasconade County,14745,14791
75,MO,Gentry County,6115,6173
77,MO,Greene County,299060,300865
79,MO,Grundy County,9729,9720
81,MO,Harrison County,8155,8164
83,MO,Henry County,21949,22206
85,MO,Hickory County,8303,8607
87,MO,Holt County,4186,4226
89,MO,Howard County,10144,10168
91,MO,Howell County,39750,39975
93,MO,Iron County,9515,9408
95,MO,Jackson County,717243,716862
97,MO,Jasper County,122766,123155
99,MO,Jefferson County,226929,227771
101,MO,Johnson County,54002,54150
103,MO,Knox County,3732,3808
105,MO,Laclede County,36024,36133
107,MO,Lafayette County,33001,32817
109,MO,Lawrence County,37963,38321
111,MO,Lewis County,10031,10000
113,MO,Lincoln County,59829,61586
115,MO,Linn County,11849,11843
117,MO,Livingston County,14562,14755
119,MO,McDonald County,23285,23383
121,MO,Macon County,15182,15183
123,MO,Madison County,12600,12652
125,MO,Maries County,8427,8406
127,MO,Marion County,28470,28518
129,MO,Mercer County,3515,3488
131,MO,Miller County,24733,24909
133,MO,Mississippi County,12537,12538
135,MO,Moniteau County,15464,15484
137,MO,Monroe County,8666,8712
139,MO,Montgomery County,11262,11415
141,MO,Morgan County,20997,21379
143,MO,New Madrid County,16329,16035
145,MO,Newton County,58613,59386
147,MO,Nodaway County,21218,21160
149,MO,Oregon County,8617,8631
151,MO,Osage County,13249,13379
153,MO,Ozark County,8514,8782
155,MO,Pemiscot County,15585,15236
157,MO,Perry County,18960,18922
159,MO,Pettis County,42951,43188
161,MO,Phelps County,44517,44937
163,MO,Pike County,17613,17761
165,MO,Platte County,107100,108569
167,MO,Polk County,31577,32043
169,MO,Pulaski County,53964,53816
171,MO,Putnam County,4676,4712
173,MO,Ralls County,10351,10361
175,MO,Randolph County,24636,24760
177,MO,Ray County,23100,23008
179,MO,Reynolds County,6078,6087
181,MO,Ripley County,10680,10617
