COUNTY,STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021
119,AR,Pulaski County,399073,397821
121,AR,Randolph County,18581,18865
123,AR,Saint Francis County,23046,22739
125,AR,Saline County,123681,125233
127,AR,Scott County,9811,9822
129,AR,Searcy County,7827,7880
131,AR,Sebastian County,127739,128400
133,AR,Sevier County,15778,15783
135,AR,Sharp County,17282,17622
137,AR,Stone County,12364,12481
139,AR,Union County,38925,38340
141,AR,Van Buren County,15765,15694
143,AR,Washington County,246662,250057
145,AR,White County,76810,77207
147,AR,Woodruff County,6200,6116
149,AR,Yell County,20216,20155
0,CA,California,39499738,39237836
1,CA,Alameda County,1679844,1648556
3,CA,Alpine County,1198,1235
5,CA,Amador County,40541,41259
7,CA,Butte County,210083,208309
9,CA,Calaveras County,45327,46221
11,CA,Colusa County,21853,21917
13,CA,Contra Costa County,1165562,1161413
15,CA,Del Norte County,27709,28100
17,CA,El Dorado County,191114,193221
19,CA,Fresno County,1008966,1013581
21,CA,Glenn County,28893,28805
23,CA,Humboldt County,136351,136310
25,CA,Imperial County,179489,179851
27,CA,Inyo County,19023,18970
29,CA,Kern County,909997,917673
31,CA,Kings County,152627,153443
33,CA,Lake County,68174,68766
35,CA,Lassen County,32719,33159
37,CA,Los Angeles County,9989165,9829544
39,CA,Madera County,156620,159410
41,CA,Marin County,261776,260206
43,CA,Mariposa County,17124,17147
45,CA,Mendocino County,91354,91305
47,CA,Merced County,281726,286461
49,CA,Modoc County,8658,8661
51,CA,Mono County,13206,13247
53,CA,Monterey County,438500,437325
55,CA,Napa County,137608,136207
57,CA,Nevada County,102199,103487
59,CA,Orange County,3184101,3167809
61,CA,Placer County,405741,412300
63,CA,Plumas County,19769,19915
65,CA,Riverside County,2422764,2458395
67,CA,Sacramento County,1586241,1588921
69,CA,San Benito County,64507,66677
71,CA,San Bernardino County,2182740,2194710
73,CA,San Diego County,3297252,3286069
75,CA,San Francisco County,870014,815201
77,CA,San Joaquin County,780517,789410
79,CA,San Luis Obispo County,282231,283159
81,CA,San Mateo County,762453,737888
83,CA,Santa Barbara County,448096,446475
85,CA,Santa Clara County,1930598,1885508
87,CA,Santa Cruz County,270353,267792
89,CA,Shasta County,181893,182139
91,CA,Sierra County,3228,3283
93,CA,Siskiyou County,43962,44118
95,CA,Solano County,453274,451716
97,CA,Sonoma County,488345,485887
99,CA,Stanislaus County,552710,552999
101,CA,Sutter County,99480,99063
103,CA,Tehama County,65615,65498
105,CA,Trinity County,16088,16060
107,CA,Tulare County,473736,477054
109,CA,Tuolumne County,55516,55810
111,CA,Ventura County,842921,839784
113,CA,Yolo County,216255,216986
115,CA,Yuba County,81932,83421
0,CO,Colorado,5784308,5812069
1,CO,Adams County,520163,522140
3,CO,Alamosa County,16362,16547
5,CO,Arapahoe County,655112,654900
7,CO,Archuleta County,13424,13790
9,CO,Baca County,3486,3514
11,CO,Bent County,5635,5759
13,CO,Boulder County,330811,329543
14,CO,Broomfield County,74513,75325
15,CO,Chaffee County,19571,20074
17,CO,Cheyenne County,1736,1707
19,CO,Clear Creek County,9404,9446
21,CO,Conejos County,7464,7612
23,CO,Costilla County,3506,3625
25,CO,Crowley County,5893,6012
