StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
AR,"Garland County",100162,160778,100330,193895
AR,"Ashley County",18960,62871,18674,65969
AR,"Cross County",16762,90170,16681,97775
AR,"Randolph County",18581,93344,18865,96731
AZ,"Pinal County",429583,251335,449557,332029
AZ,"Yuma County",204437,172519,206990,215276
AZ,"Mohave County",214070,248122,217692,317484
AZ,"Apache County",65897,186256,65623,225486
AZ,"Yavapai County",237067,329506,242253,428002
AZ,"Pima County",1045599,232017,1052030,290755
AZ,"Cochise County",125398,169059,126050,194475
AZ,"Greenlee County",9522,95968,9404,114519
AZ,"Graham County",38614,190602,39050,227763
AZ,"Coconino County",145116,383438,145052,499566
AZ,"Navajo County",106802,236927,108147,309982
AZ,"Maricopa County",4438342,307822,4496588,401621
AZ,"Gila County",53306,237599,53589,295186
AZ,"La Paz County",16580,197444,16408,238017
AZ,"Santa Cruz County",47653,171357,47883,206833
CA,"Monterey County",438500,615297,437325,732822
CA,"Solano County",453274,460945,451716,549894
CA,"Plumas County",19769,279534,19915,323801
CA,"Kings County",152627,243029,153443,282791
CA,"Imperial County",179489,223170,179851,284915
CA,"Santa Barbara County",448096,657903,446475,799154
CA,"Madera County",156620,295690,159410,345035
CA,"Shasta County",181893,280932,182139,342979
CA,"Colusa County",21853,254330,21917,293880
CA,"Inyo County",19023,368818,18970,417480
CA,"Mariposa County",17124,303048,17147,347646
CA,"Napa County",137608,698543,136207,839517
CA,"Humboldt County",136351,333693,136310,392841
CA,"Tulare County",473736,238990,477054,282828
CA,"San Diego County",3297252,616451,3286069,776488
CA,"Orange County",3184101,757257,3167809,906032
CA,"Sonoma County",488345,650130,485887,756199
CA,"El Dorado County",191114,470922,193221,629128
CA,"Alpine County",1198,413936,1235,463245
CA,"Riverside County",2422764,407682,2458395,509821
CA,"Los Angeles County",9989165,655169,9829544,777119
CA,"San Bernardino County",2182740,368587,2194710,455640
CA,"Nevada County",102199,473703,103487,625147
CA,"Sierra County",3228,250691,3283,292953
CA,"Santa Clara County",1930598,1220262,1885508,1461056
CA,"Sutter County",99480,330690,99063,399762
CA,"Placer County",405741,524639,412300,635915
CA,"Alameda County",1679844,888815,1648556,1114164
CA,"Mendocino County",91354,413999,91305,472322
CA,"Sacramento County",1586241,395916,1588921,488705
CA,"Stanislaus County",552710,343721,552999,412537
CA,"Yolo County",216255,475015,216986,553151
CA,"Yuba County",81932,297648,83421,349685
CA,"Contra Costa County",1165562,679879,1161413,857032
CA,"Lake County",68174,251259,68766,307982
CA,"Tehama County",65615,247656,65498,297352
CA,"Fresno County",1008966,277209,1013581,337197
CA,"Butte County",210083,326289,208309,376559
CA,"Tuolumne County",55516,0,55810,353802
CA,"San Benito County",64507,636490,66677,769958
CA,"Kern County",909997,238758,917673,285243
CA,"Ventura County",842921,620685,839784,749816
CA,"San Francisco County",870014,1407248,815201,1478500
CA,"Calaveras County",45327,337776,46221,426976
CA,"Siskiyou County",43962,217065,44118,251922
CA,"Modoc County",8658,133686,8661,153696
CA,"Marin County",261776,1207952,260206,1419571
CA,"Merced County",281726,284398,286461,350156
CA,"Glenn County",28893,255472,28805,298598
CA,"Santa Cruz County",270353,872799,267792,1091642
CA,"San Mateo County",762453,1399289,737888,1582321
CA,"San Joaquin County",780517,382850,789410,489328
CA,"San Luis Obispo County",282231,640343,283159,745337
CA,"Amador County",40541,320212,41259,366081
CA,"Del Norte County",27709,276072,28100,304382
CA,"Trinity County",16088,279604,16060,319091
CA,"Lassen County",32719,176454,33159,206049
CA,"Mono County",13206,476117,13247,551586
CO,"Delta County",31232,266209,31661,309550
CO,"Boulder County",330811,578557,329543,691242
CO,"Arapahoe County",655112,417764,654900,497485
CO,"Bent County",5635,70072,5759,84836
CO,"Denver County",717630,477010,711463,551323
CO,"San Juan County",710,292737,733,339767
CO,"Douglas County",360102,534113,368990,653953
CO,"Rio Blanco County",6518,236610,6476,266759
CO,"Saguache County",6383,175961,6471,205943
CO,"Pueblo County",168467,210835,169622,255242
CO,"Crowley County",5893,72844,6012,89070
CO,"Mesa County",155939,282402,157335,335765
CO,"Moffat County",13267,203485,13185,233731
CO,"Otero County",18667,96769,18594,113176
CO,"Mineral County",867,284709,924,336381
CO,"El Paso County",731847,338499,737867,426103
CO,"Adams County",520163,383149,522140,460341
CO,"Hinsdale County",794,325909,781,376316
CO,"Huerfano County",6810,158657,6920,186340
CO,"Chaffee County",19571,411508,20074,477009
CO,"Pitkin County",17342,1365724,17348,1576989
CO,"Larimer County",359686,425253,362533,489302
CO,"Jackson County",1376,179381,1363,195989
CO,"Montezuma County",25858,269418,26175,309485
CO,"Kiowa County",1452,94747,1452,109837
CO,"Logan County",21495,182226,21487,210220
CO,"Montrose County",42798,291593,43168,335071
CO,"Prowers County",11986,92884,11996,106991
CO,"Cheyenne County",1736,104957,1707,120468
CO,"Archuleta County",13424,344462,13790,402039
CO,"Dolores County",2338,175163,2397,195456
CO,"Morgan County",29065,231957,29008,269261
CO,"Rio Grande County",11538,195710,11408,219404
CO,"Summit County",30971,665420,30941,836187
CO,"Lincoln County",5669,145958,5688,172120
CO,"Yuma County",9979,177244,9941,201023
CO,"Weld County",331358,390353,340036,450684
CO,"Sedgwick County",2390,93948,2336,108912
CO,"Elbert County",26206,543857,27128,628636
CO,"Costilla County",3506,115042,3625,136776
CO,"Baca County",3486,0,3514,0
CO,"Lake County",7409,272424,7407,322426
CO,"San Miguel County",8055,818383,8074,955837
CO,"Fremont County",48981,244978,49661,278802
CO,"Teller County",24726,337760,24926,395419
CO,"Clear Creek County",9404,403045,9446,471456
CO,"Custer County",4712,259280,5045,303316
CO,"Grand County",15733,530571,15860,565171
CO,"Gunnison County",16945,418370,17281,489553
CO,"Gilpin County",5810,387618,5873,454021
CO,"La Plata County",55642,430542,56250,524701
CO,"Eagle County",55665,770741,55727,906468
CO,"Routt County",24839,583408,25091,748214
CO,"Ouray County",4869,484752,5035,564662
CO,"Las Animas County",14564,144521,14633,167720
CO,"Phillips County",4534,161907,4512,187942
CO,"Conejos County",7464,135365,7612,152758
CO,"Park County",17421,360379,17720,422406
CO,"Jefferson County",582928,479406,579581,593500
CO,"Washington County",4815,135213,4861,155979
CO,"Alamosa County",16362,192901,16547,217722
CO,"Kit Carson County",7064,165701,6950,190991
CO,"Broomfield County",74513,493308,75325,579531
CO,"Garfield County",61776,427602,62161,516308
CT,"Fairfield County",955895,421920,959768,510558
CT,"Hartford County",897932,233650,896854,272836
CT,"New Haven County",863498,240478,863700,296873
CT,"Litchfield County",184874,254921,185000,318039
CT,"Windham County",116240,209427,116418,250692
CT,"New London County",268248,252471,268805,306842
CT,"Tolland County",149650,243991,150293,290511
CT,"Middlesex County",163923,298399,164759,354705
DC,"District of Columbia",690093,640129,670050,689123
DC,"District of Columbia",690093,640129,670050,689123
DE,"New Castle County",570718,259120,571708,294013
DE,"Sussex County",238912,313475,247527,376361
DE,"Kent County",182256,241172,184149,276911
FL,"Marion County",377370,170320,385915,198260
FL,"Monroe County",82809,635221,82170,738917
FL,"Nassau County",90993,311233,94189,357927
FL,"Putnam County",73347,140830,74167,164367
FL,"Orange County",1429899,274077,1422746,312882
FL,"Washington County",25357,131464,25436,149516
FL,"Columbia County",69889,153994,70385,192302
FL,"Manatee County",401443,290666,412703,353178
FL,"Hillsborough County",1463380,250496,1478194,306477
FL,"Collier County",377079,350056,385980,425488
FL,"Palm Beach County",1492466,305137,1497987,359928
FL,"Liberty County",7974,116990,7900,131407
FL,"Union County",16126,151577,16335,168378
FL,"Gulf County",14181,232429,14363,266773
FL,"Walton County",75855,433106,80069,540857
FL,"Pinellas County",958752,238929,956615,303482
FL,"Duval County",996373,208138,999935,249168
FL,"Lafayette County",8252,139388,8382,166002
FL,"Jackson County",47214,115856,47694,131246
FL,"Sumter County",130897,299418,135638,310966
FL,"Alachua County",278684,208283,279238,236567
FL,"Gadsden County",43701,117959,43714,129894
FL,"Flagler County",115968,244761,120932,295015
FL,"Baker County",28309,191839,28715,222607
FL,"Hamilton County",13988,105648,13993,120172
FL,"Broward County",1941516,286158,1930983,329771
FL,"Brevard County",608007,233263,616628,280752
FL,"Dixie County",16805,112174,17102,130347
FL,"Hardee County",25313,119925,25425,137293
FL,"Gilchrist County",17928,179278,18360,205052
FL,"Clay County",218797,234965,222361,275597
FL,"Saint Johns County",276916,331549,292466,403433
FL,"Franklin County",12456,288182,12572,328065
FL,"Highlands County",101222,151813,103296,180480
FL,"Jefferson County",14560,180925,14555,200662
FL,"Suwannee County",43510,147459,44485,166916
FL,"Volusia County",554901,226100,564412,268729
FL,"Levy County",43051,229497,44158,264527
FL,"Okeechobee County",39641,204469,40266,172565
FL,"Osceola County",390855,249251,403282,278675
FL,"Hendry County",39707,143695,40313,166353
FL,"Miami-Dade County",2692459,334749,2662777,375621
FL,"Bradford County",28364,144087,28540,163181
FL,"Taylor County",21760,114094,21815,129535
FL,"Pasco County",565745,203319,584067,255828
FL,"Okaloosa County",211809,257194,213255,303536
FL,"Escambia County",322424,176918,322390,205398
FL,"Glades County",12179,136952,12234,155758
FL,"Sarasota County",435664,288327,447057,352866
FL,"Lake County",385875,243366,395804,283492
FL,"Indian River County",160345,245022,163662,280063
FL,"Leon County",292378,197561,292817,228943
FL,"Citrus County",154403,176789,158083,217002
FL,"Saint Lucie County",331275,236205,343579,286632
FL,"Martin County",158529,302744,159942,364157
FL,"Wakulla County",33907,185908,34690,209319
FL,"Madison County",17976,109917,18288,125408
FL,"Seminole County",471058,282557,470093,324862
FL,"Santa Rosa County",189133,237823,193998,283678
FL,"De Soto County",34080,145316,34408,167328
FL,"Hernando County",195508,195296,200638,240266
FL,"Holmes County",19622,113619,19784,126111
FL,"Lee County",764679,249436,787976,302797
FL,"Charlotte County",187960,232285,194843,285581
FL,"Polk County",729233,199132,753520,236929
FL,"Calhoun County",13615,108375,13641,125422
FL,"Bay County",174461,242244,179168,276188
GA,"Bryan County",44999,258365,46938,274245
GA,"Dodge County",19849,85170,19759,95081
GA,"Barrow County",83963,208584,86658,254370
GA,"McDuffie County",21587,125499,21633,136700
GA,"Meriwether County",20619,107586,20793,121560
GA,"Taylor County",7814,84567,7799,94631
GA,"Turner County",8971,77913,8966,87633
GA,"Taliaferro County",1557,75059,1558,90520
GA,"Walker County",67711,144165,68510,172299
GA,"Franklin County",23429,158835,23785,181595
GA,"Bulloch County",81378,155522,82442,165200
GA,"Worth County",20719,115352,20554,126879
GA,"Twiggs County",7986,75321,7856,86436
GA,"Dawson County",27047,334541,28497,382185
GA,"Miller County",5987,104014,5919,117747
GA,"Troup County",69388,159649,69720,173439
GA,"Cherokee County",268043,292259,274615,349223
GA,"Gwinnett County",957801,258760,964546,318997
GA,"Marion County",7520,116172,7440,128218
GA,"Montgomery County",8577,115232,8653,129037
GA,"Quitman County",2224,77082,2243,82669
GA,"Union County",24766,227931,25521,259403
GA,"Emanuel County",22730,77114,22716,86568
GA,"Seminole County",9138,95490,9197,106578
GA,"Wilcox County",8731,75765,8739,83765
GA,"Putnam County",22140,240572,22585,271235
GA,"Washington County",19927,90481,19785,99277
GA,"Webster County",2350,86422,2367,95493
GA,"Terrell County",9153,74613,8964,80313
GA,"Spalding County",67413,149058,67909,176667
GA,"Catoosa County",67976,174314,68397,206509
GA,"Glascock County",2883,112449,2919,126359
GA,"Burke County",24621,105377,24310,118056
GA,"Liberty County",65220,151360,65711,159936
GA,"Crisp County",20042,103717,19879,113852
GA,"Clay County",2835,84761,2882,95592
GA,"Mitchell County",21677,87487,21521,97626
GA,"Hancock County",8722,105920,8630,120142
GA,"Bibb County",157104,95889,156762,111776
GA,"Greene County",19025,374121,19536,426751
GA,"Baker County",2844,95222,2819,105864
GA,"Butts County",25542,146285,25781,166770
GA,"Fannin County",25396,267118,25817,307640
GA,"Irwin County",9643,102980,9618,115675
GA,"Wilkinson County",8844,79321,8831,87334
GA,"Jackson County",76712,245389,80286,299407
GA,"Johnson County",9168,76766,9160,85262
GA,"Elbert County",19627,96132,19579,108504
GA,"Lanier County",9916,123367,9907,139803
GA,"Gordon County",57696,152140,58237,172114
GA,"Towns County",12539,232007,12875,263658
GA,"Atkinson County",8301,75556,8391,86091
